folder_name,pdf_name,coordinates
file 2,KleioSolarPowerPvtLtd-209-40MW.pdf,15.267006N; 76.003128E
file 2,KumaraswamyMineralExportsPrivateLimited25-2MW.pdf,
file 2,MSPLPvtLtd.pdf,
file 2,NeoGreenPower(p)Ltd-5MW.pdf,14.473511N; 76.304203E; 14.476183N; 14.478839N; 14.481625N; 14.471094N; 76.304431E; 76.304503E; 76.304686E; 76.302642E; 76.304431E; 76.302642E; 76.304203E; 14.476183N; 76.304431E; 14.478839N; 76.304503E; 14.481625N; 76.304686E; 14.471094N; 76.302642E; 14.476183N; 76.304431E; 14.478839N; 76.304503E; 14.481625N; 76.304686E; 14.471094N; 76.302642E
file 2,NeoGreenPowerPrivateLimited-5MW(2-25W+2-75S).pdf,14.429761N; 76.284044E; 14.433747N; 14.435472N; 76.279844E; 14.433747N; 76.284203E; 14.436233N; 76.278789E; 14.439608N; 76.279394E; 14.429761N; 76.284044E; 14.433747N; 14.433747N; 76.284203E; 14.436233N; 76.278789E
file 2,ZenatarisRenewableEnergyPvtLtd-300MW.pdf,14.681991N; 76.399863E; 14.683697N; 76.404684E; 14.700246N; 76.407919E; 14.707065N; 76.449855E; 14.702703N; 76.431773E; 14.669402N; 14.656073N; 14.676984N; 4.702121N; 76.346389E; 14.698490N; 76.347500E; 14.704109N; 76.354193E; 14.693387N; 76.382060E; 14.700253N; 76.382706E; 14.704850N; 76.380284E; 14.713021N; 76.380354E; 14.710713N; 76.356397E; 14.690681N; 76.381142E; 14.689442N; 76.458059E; 14.746565N; 76.391061E; -6.406985S; 14.739679N; 76.395197E; 14.760670N; 76.403793E; 76.386375E; 14.749674N; 76.386566E; 14.656846N; 76.358303E; 14.654107N; 76.360004E
File 4,KaradWindIndiaPrivateLimited-11-3MW.pdf,14.161003N; 14.159989N
File 4,KaradwindIndiaPvtLtd(4-5MW7-5MW)3MW.pdf,14.134667N; 14.137544N; 76.445186E; 14.136258N; 76.444158E; 14.135450N; 76.443414E; 14.119517N; 76.465514E; 14.134667N; 76.449206E; 14.137544N; 14.136258N; 14.135450N; 76.443414E
File 4,LayerHybenPrivateLimited160MW.pdf,76.118609E; 14.701989N; 76.113905E; 76.088533E; 76.085288E; 76.089243E; 76.074176E; 76.094168E; 76.209731E; 14.724900N; 14.722431N; 14.715100N; 14.701989N; 76.088533E; 76.151671E; 76.211592E; 14.715100N; 76.199889E
File 4,LayerHybrenPrivateLimited140MW.pdf,14.704694N; 14.711146N; 14.698098N; 75.972021E; 14.722372N; 75.969703E; 14.757636N; 76.022655E; 14.737031N; 14.746262N; 14.748789N; 76.063981E; 14.757989N; 76.042844E; 14.740789N; 76.054067E; 14.744315N; 76.065807E; 14.720005N; 76.246311E; 76.233489E; 14.704694N; 14.698098N; 75.968280E; 75.972021E; 75.969703E; 14.757636N; 76.022655E; 14.737031N; 76.040811E; 14.746262N; 76.053155E; 14.748789N; 6.063981E; 14.757989N; 76.042844E; 14.740789N; 76.054067E; 14.744315N; 14.720005N
